Piece ID,CBM per Piece,Grade,Last Movement,Length (mm),Lots,Material,Material Status,Material Type,Net Movement,Original Qty,Rack,Remaining Qty,Thickness (mm),Transactions,Unit,Width (mm)
RL-BRS4-034,0.012,B Grade,🟢 Receive,3400,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,85
RL-BRS3-035,0.014,B Grade,🟢 Receive,3900,RL-0307-005 3Thick Beam (https://app.notion.com/p/RL-0307-005-3Thick-Beam-3b2587ac8c7880e1aef6dd9741992370?pvs=21),Beam 3T Relocation (https://app.notion.com/p/Beam-3T-Relocation-3b3587ac8c78806b8aeceae933170f02?pvs=21),🟢 Available,,0,1,,1,30,TRS/REL/030726/003 (https://app.notion.com/p/TRS-REL-030726-003-3b3587ac8c7880ed923ae27b41c379cc?pvs=21),PCS,120
RL-BRS3-036,0.012,B Grade,🟢 Receive,4000,RL-0307-005 3Thick Beam (https://app.notion.com/p/RL-0307-005-3Thick-Beam-3b2587ac8c7880e1aef6dd9741992370?pvs=21),Beam 3T Relocation (https://app.notion.com/p/Beam-3T-Relocation-3b3587ac8c78806b8aeceae933170f02?pvs=21),🟢 Available,,0,1,,1,38,TRS/REL/030726/003 (https://app.notion.com/p/TRS-REL-030726-003-3b3587ac8c7880ed923ae27b41c379cc?pvs=21),PCS,80
RL-BRS3-037,0.005,B Grade,🟢 Receive,1900,RL-0307-005 3Thick Beam (https://app.notion.com/p/RL-0307-005-3Thick-Beam-3b2587ac8c7880e1aef6dd9741992370?pvs=21),Beam 3T Relocation (https://app.notion.com/p/Beam-3T-Relocation-3b3587ac8c78806b8aeceae933170f02?pvs=21),🟢 Available,,0,1,,1,35,TRS/REL/030726/003 (https://app.notion.com/p/TRS-REL-030726-003-3b3587ac8c7880ed923ae27b41c379cc?pvs=21),PCS,75
RL-BRS3-038,0.011,B Grade,🟢 Receive,4000,RL-0307-005 3Thick Beam (https://app.notion.com/p/RL-0307-005-3Thick-Beam-3b2587ac8c7880e1aef6dd9741992370?pvs=21),Beam 3T Relocation (https://app.notion.com/p/Beam-3T-Relocation-3b3587ac8c78806b8aeceae933170f02?pvs=21),🟢 Available,,0,1,,1,35,TRS/REL/030726/003 (https://app.notion.com/p/TRS-REL-030726-003-3b3587ac8c7880ed923ae27b41c379cc?pvs=21),PCS,80
RL-BRS3-039,0.009,B Grade,🟢 Receive,3000,RL-0307-005 3Thick Beam (https://app.notion.com/p/RL-0307-005-3Thick-Beam-3b2587ac8c7880e1aef6dd9741992370?pvs=21),Beam 3T Relocation (https://app.notion.com/p/Beam-3T-Relocation-3b3587ac8c78806b8aeceae933170f02?pvs=21),🟢 Available,,0,1,,1,38,TRS/REL/030726/003 (https://app.notion.com/p/TRS-REL-030726-003-3b3587ac8c7880ed923ae27b41c379cc?pvs=21),PCS,80
RL-BRS3-040,0.009,B Grade,🟢 Receive,3400,RL-0307-005 3Thick Beam (https://app.notion.com/p/RL-0307-005-3Thick-Beam-3b2587ac8c7880e1aef6dd9741992370?pvs=21),Beam 3T Relocation (https://app.notion.com/p/Beam-3T-Relocation-3b3587ac8c78806b8aeceae933170f02?pvs=21),🟢 Available,,0,1,,1,35,TRS/REL/030726/003 (https://app.notion.com/p/TRS-REL-030726-003-3b3587ac8c7880ed923ae27b41c379cc?pvs=21),PCS,75
RL-BRS3-041,0.004,B Grade,🟢 Receive,1200,RL-0307-005 3Thick Beam (https://app.notion.com/p/RL-0307-005-3Thick-Beam-3b2587ac8c7880e1aef6dd9741992370?pvs=21),Beam 3T Relocation (https://app.notion.com/p/Beam-3T-Relocation-3b3587ac8c78806b8aeceae933170f02?pvs=21),🟢 Available,,0,1,,1,38,TRS/REL/030726/003 (https://app.notion.com/p/TRS-REL-030726-003-3b3587ac8c7880ed923ae27b41c379cc?pvs=21),PCS,80
RL-BRS10-042,0.106,B Grade,🟢 Receive,2900,RL-0307-003 Beam (https://app.notion.com/p/RL-0307-003-Beam-3b2587ac8c7880558a01dd45d53934c0?pvs=21),Beam 10T up Relocation (https://app.notion.com/p/Beam-10T-up-Relocation-3b2587ac8c7880dbb0b4d6273b6e8b96?pvs=21),🟢 Available,🌲 Raw Material,0,2,,2,140,TRS/RL/030726/005 (https://app.notion.com/p/TRS-RL-030726-005-3b3587ac8c7880c094d7fb6964438261?pvs=21),PCS,130
RL-BRS10-043,0.050,B Grade,🟢 Receive,3200,RL-0307-003 Beam (https://app.notion.com/p/RL-0307-003-Beam-3b2587ac8c7880558a01dd45d53934c0?pvs=21),Beam 10T up Relocation (https://app.notion.com/p/Beam-10T-up-Relocation-3b2587ac8c7880dbb0b4d6273b6e8b96?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,120,TRS/RL/030726/005 (https://app.notion.com/p/TRS-RL-030726-005-3b3587ac8c7880c094d7fb6964438261?pvs=21),PCS,130
